random_type;p_value
r;4,80188817100196e-01
r;2,29983399491268e-01
r;6,77190063598657e-01
r;8,71917347257379e-01
r;8,72702207206517e-01
r;7,14765184901836e-01
r;6,08343405514637e-01
r;8,89155194001627e-01
r;9,73366493861762e-01
r;2,41975600572231e-01
r;1,59167377007769e-01
r;9,85476490608373e-01
r;6,58482999527526e-02
r;3,46904087887352e-01
r;9,31594708381948e-01
r;9,62453216361635e-01
r;4,15545894889982e-01
r;1,16011129169768e-01
r;3,51184874699301e-01
r;2,83429862522585e-01
r;6,07603200311897e-02
r;7,14430012138486e-01
r;7,06761959323500e-01
r;8,41238727325522e-01
r;2,00963793611822e-01
r;5,08568070552878e-01
r;9,30248703637155e-01
r;2,39386251542767e-01
r;5,34859861657559e-01
r;9,55774974929144e-01
r;7,45105976685745e-01
r;8,42249835020803e-02
r;7,41718718360833e-01
r;5,82694682990970e-01
r;9,16941280749404e-01
r;8,87212089451880e-01
r;9,82282651836822e-01
r;2,70734007540192e-01
r;8,44694124307620e-01
r;4,47184082551828e-01
r;1,87695348336253e-01
r;2,59481706773860e-01
r;2,85364704996458e-01
r;6,40561628295117e-02
r;2,94620519823303e-01
r;7,33432772327311e-01
r;5,53518433487285e-01
r;1,57976368938981e-01
r;5,80128892841333e-02
r;7,03453105568478e-01
r;9,46961383033267e-02
r;3,30094411695010e-01
r;3,75719224574120e-01
r;3,02333938249101e-01
r;5,33426390517399e-01
r;9,32658842677673e-01
r;3,61671908693179e-01
r;2,14684135120668e-01
r;2,60143035473279e-01
r;9,07559975855468e-01
r;2,28172606865316e-01
r;4,20346684803573e-01
r;7,69929999823447e-01
r;5,24714040428475e-01
r;1,28013424112812e-01
r;2,64887449511680e-01
r;7,34394900149536e-01
r;7,16969580719449e-01
r;7,23113541915619e-01
r;6,22542370260119e-01
r;3,44815900971072e-02
r;3,44268693046350e-01
r;7,49920916962638e-01
r;7,64629118677697e-01
r;6,31218974560381e-01
r;3,87011435372046e-01
r;8,14757293677047e-01
r;7,56982799447875e-01
r;5,55416788141071e-01
r;8,86207385612025e-01
r;6,64548557192147e-01
r;6,21509142787358e-01
r;1,94411132369487e-01
r;5,96269994054369e-01
r;8,20387534679571e-01
r;7,31324548681871e-01
r;6,00192818602237e-01
r;7,88988261455763e-01
r;4,29187206501233e-01
r;1,84846541678629e-01
r;8,26878751731343e-01
r;9,36617279491562e-01
r;9,17187723897178e-01
r;1,01347928883681e-02
r;9,93336617490282e-01
r;5,00643438521826e-01
r;7,70522687979036e-01
r;1,35374847119675e-01
r;6,85615747810459e-01
r;4,79266089404146e-02
r;4,80410629190003e-01
r;4,57950215298121e-02
r;4,43782417946719e-02
r;3,81915343163589e-01
r;6,58776337730878e-02
r;1,36051208635964e-01
r;7,93015812430963e-01
r;5,83961102986264e-01
r;6,75479309229530e-01
r;3,09544314916021e-01
r;3,99728399789793e-01
r;8,76069402980347e-01
r;5,92762191543628e-02
r;1,49095567065255e-01
r;3,93336677472028e-02
r;3,86586228809148e-01
r;6,74864121014632e-01
r;8,10176309231091e-01
r;4,68702138939480e-02
r;3,99188175755123e-01
r;8,25860420324610e-01
r;3,01064634502972e-01
r;5,82403814966227e-01
r;9,64122854971589e-01
r;1,42181656547119e-01
r;7,30420290690274e-01
r;5,68109564566545e-01
r;5,84522215107640e-01
r;9,45654183236006e-01
r;5,06210642897460e-01
r;6,72885161172550e-01
r;1,74978334071840e-01
r;7,65778573496249e-01
r;6,75413618506800e-01
r;7,36414151965403e-01
r;1,64079553735805e-01
