variable_encripted;level_encripted;coefficients;standardized_coefficients
0;1;-2,04299946687584e+00;-2,85650063641188989
1;1;0,00000000000000e+00;0,00000000000000000
1;2;-5,39762946851578e-02;-0,05397629468515780
1;3;0,00000000000000e+00;0,00000000000000000
1;4;-2,43953560554974e-02;-0,02439535605549740
1;5;6,37987728030391e-03;0,00637987728030391
1;6;2,78941417734168e-02;0,02789414177341680
1;7;0,00000000000000e+00;0,00000000000000000
1;8;-1,02699450325000e-01;-0,10269945032500000
1;9;-8,64054779613974e-02;-0,08640547796139740
1;10;7,70188659573399e-02;0,07701886595733989
1;11;-1,23165901833146e-01;-0,12316590183314600
1;12;0,00000000000000e+00;0,00000000000000000
1;13;2,17407448982062e-02;0,02174074489820620
1;14;0,00000000000000e+00;0,00000000000000000
1;15;1,10961571907254e-02;0,01109615719072540
1;16;-4,35011730789582e-02;-0,04350117307895820
1;17;3,97974284202421e-02;0,03979742842024210
1;18;0,00000000000000e+00;0,00000000000000000
1;19;-5,17687713253930e-02;-0,05176877132539300
1;20;-3,01308976502294e-02;-0,03013089765022940
1;21;5,04333197183576e-02;0,05043331971835760
2;1;2,41222903426205e-01;0,24122290342620500
2;2;0,00000000000000e+00;0,00000000000000000
2;3;3,23787402362672e-02;0,03237874023626720
2;4;0,00000000000000e+00;0,00000000000000000
2;5;-1,75183809316414e-01;-0,17518380931641400
2;6;-8,80051373905153e-02;-0,08800513739051530
2;7;0,00000000000000e+00;0,00000000000000000
2;8;-1,75726589009296e-02;-0,01757265890092960
2;9;-1,01390772733282e-01;-0,10139077273328199
2;10;1,15882648170336e-01;0,11588264817033600
3;1;0,00000000000000e+00;0,00000000000000000
3;2;0,00000000000000e+00;0,00000000000000000
3;3;-6,29236788144576e-02;-0,06292367881445760
3;4;3,76300430930191e-02;0,03763004309301910
3;5;0,00000000000000e+00;0,00000000000000000
3;6;4,56782293055425e-02;0,04567822930554250
3;7;0,00000000000000e+00;0,00000000000000000
3;8;8,36809824179484e-02;0,08368098241794840
3;9;-8,13925799361775e-03;-0,00813925799361775
3;10;0,00000000000000e+00;0,00000000000000000
4;1;1,55437540870239e-02;0,01554375408702390
4;2;0,00000000000000e+00;0,00000000000000000
4;3;8,77282689672859e-02;0,08772826896728590
4;4;-3,80878180881703e-02;-0,03808781808817030
4;5;0,00000000000000e+00;0,00000000000000000
5;1;0,00000000000000e+00;0,00000000000000000
5;2;-6,62736367401779e-02;-0,06627363674017790
5;3;0,00000000000000e+00;0,00000000000000000
5;4;0,00000000000000e+00;0,00000000000000000
5;5;5,54131699712349e-02;0,05541316997123490
6;1;-5,18195993696223e-02;-0,05181959936962230
6;2;2,79352541504063e-02;0,02793525415040630
6;3;9,53749147063318e-03;0,00953749147063318
6;4;-2,94322270104557e-02;-0,02943222701045570
