variable_encripted;level_encripted;coefficients;std_error;z_value;p_value;standardized_coefficients
0;1;-1,09382067701942e+00;5,59703298616030e-01;-1,954286636730740;5,06673283311816e-02;-2,40903779237627980
2;2;-1,08329831075776e-01;2,76809323391918e-01;-0,391351814846202;6,95537203941426e-01;-0,10832983107577600
2;3;-1,46863825608393e-01;1,80552070919239e-01;-0,813415348052611;4,15979962599488e-01;-0,14686382560839301
2;4;-6,57372273143623e+00;3,50705144373459e+01;-0,187443008376176;8,51313304322539e-01;-6,57372273143622987
2;5;-6,19797118665591e-01;1,09555451715097e-01;-5,657382713161500;1,53698779259415e-08;-0,61979711866559095
2;6;-1,81983400652505e+00;5,88149016964096e-01;-3,094171636839000;1,97363272192586e-03;-1,81983400652505001
2;7;-3,94851540848239e-01;1,76278967654968e-01;-2,239924286492790;2,50958386498440e-02;-0,39485154084823898
2;8;-4,22706447423679e-01;9,63821439942800e-02;-4,385734015719390;1,15595305784089e-05;-0,42270644742367902
2;9;-5,33512607503618e-01;1,65493432722654e-01;-3,223769056731810;1,26515385618797e-03;-0,53351260750361795
2;10;-1,09081153201929e-01;1,21767831018023e-01;-0,895812566340148;3,70352877235082e-01;-0,10908115320192900
7;2;-1,11455325180526e-01;6,80564567016810e-02;-1,637689215427130;1,01486541463927e-01;-0,11145532518052600
7;3;7,26722687091462e-02;8,60040952853853e-02;0,844986142438911;3,98118576190268e-01;0,07267226870914620
7;4;4,88266187445673e-01;1,98425094033700e-01;2,460707854636300;1,38663225638468e-02;0,48826618744567302
7;5;1,13095890704708e+00;5,05582494196688e-01;2,236942378402640;2,52901063129038e-02;1,13095890704708002
8;2;-1,20089107534657e-01;4,73933280432966e-02;-2,533882141067390;1,12806665940920e-02;-0,12008910753465700
8;3;2,83694236460172e-01;6,11510907797188e-02;4,639234277637140;3,49702450008760e-06;0,28369423646017200
8;4;4,42003011651433e-01;1,38325954527725e-01;3,195372937497710;1,39650259202884e-03;0,44200301165143302
11;2;8,34481238943028e-02;4,94877952663741e-02;1,686236443655110;9,17502670915549e-02;0,08344812389430280
11;3;1,11619648808065e-01;4,78492415224494e-02;2,332736011200860;1,96620049252062e-02;0,11161964880806501
10;2;-8,64044214200281e-02;3,79370318214443e-01;-0,227757463543015;8,19834796763094e-01;-0,08640442142002810
10;3;-3,92365765647219e-01;3,81963299781214e-01;-1,027234202531930;3,04310196482039e-01;-0,39236576564721898
24;2;-1,02310145596308e-01;6,99753378173497e-02;-1,462088627043990;1,43716924871559e-01;-0,10231014559630799
26;2;5,19756171373139e-02;2,95416917204314e-02;1,759398805904100;7,85097946119422e-02;0,05197561713731390
15;2;3,61169515831807e-01;1,11449919679510e-01;3,240644020833750;1,19260011324540e-03;0,36116951583180701
12;2;2,08629862370903e-01;3,97633750097279e-02;5,246784567956390;1,54776705119097e-07;0,20862986237090300
13;2;1,12251931281520e-01;6,49747753955675e-02;1,727623229139740;8,40557954100367e-02;0,11225193128152000
17;2;-2,97971726626815e-01;7,02473309768313e-02;-4,241751572384870;2,21782105819246e-05;-0,29797172662681498
18;2;1,71835393160367e-01;7,22397021880374e-02;2,378683576422910;1,73745831962315e-02;0,17183539316036700
19;2;-9,72982498308391e-02;3,01320617879623e-02;-3,229060477690570;1,24197627227352e-03;-0,09729824983083910
20;2;1,01637821407846e-01;3,02481271253500e-02;3,360136017236790;7,79041080395837e-04;0,10163782140784600
21;2;2,67930369073348e-01;1,08253905251510e-01;2,475018046239130;1,33229443678513e-02;0,26793036907334800
22;2;-3,57171943286894e-01;1,08945460512113e-01;-3,278447230457870;1,04379877966432e-03;-0,35717194328689400
