variable_encripted;level_encripted;coefficients;std_error;z_value;p_value;standardized_coefficients
0;1;-6,27813948820897e-01;7,41336733571295e-01;-0,8468674495549190;3,97069007463856e-01;-2,34082223086599006
1;2;-1,12575487913551e-01;1,13990266709110e-01;-0,9875886000059170;3,23354171661298e-01;-0,11257548791355100
1;3;-3,49379023627828e-02;1,19883842254293e-01;-0,2914312863669640;7,70721489411705e-01;-0,03493790236278280
1;4;-8,79383555996744e-02;1,20127013947181e-01;-0,7320447975035840;4,64141225536229e-01;-0,08793835559967440
1;5;-2,72972477507298e-02;9,89162440586580e-02;-0,2759632455771610;7,82576296206172e-01;-0,02729724775072980
1;6;-3,97032529868325e-03;1,01574461867870e-01;-0,0390878300083729;9,68820363801594e-01;-0,00397032529868325
1;7;5,66681360932996e-02;1,28602811371946e-01;0,4406446133545530;6,59470299594250e-01;0,05666813609329960
1;8;-2,08355957160570e-01;1,31394038855678e-01;-1,5857337134558001;1,12799728023895e-01;-0,20835595716057001
1;9;-2,58343574516553e-01;1,65699077665897e-01;-1,5591129302328299;1,18969653801740e-01;-0,25834357451655299
1;10;8,81022466132853e-02;1,24899898383719e-01;0,7053828526154310;4,80572012196024e-01;0,08810224661328531
1;11;-2,00666945570601e-01;1,16239787642070e-01;-1,7263189278055300;8,42900519958629e-02;-0,20066694557060100
1;12;-1,60204021620749e-01;1,70183056599739e-01;-0,9413629348398660;3,46518901210833e-01;-0,16020402162074901
1;13;-5,79599958076501e-03;1,20167527328793e-01;-0,0482326607662191;9,61530820942288e-01;-0,00579599958076501
1;14;-4,55901250410046e-03;1,06500633607245e-01;-0,0428073744698391;9,65855085403072e-01;-0,00455901250410046
1;15;-2,99987880505454e-02;9,84209508338679e-02;-0,3048008355576910;7,60517845107094e-01;-0,02999878805054540
1;16;-1,07656527123786e-01;1,10888095482711e-01;-0,9708573914552480;3,31619298526721e-01;-0,10765652712378600
1;17;1,95342885138124e-02;1,07304281759132e-01;0,1820457505848780;8,55546821960194e-01;0,01953428851381240
1;18;-4,43513262529332e-02;1,32810696986081e-01;-0,3339439311698020;7,38421868524174e-01;-0,04435132625293320
1;19;-1,71795958640432e-01;1,43006320233356e-01;-1,2013172450007601;2,29628163484625e-01;-0,17179595864043201
1;20;-8,85132797389890e-02;1,04684017893883e-01;-0,8455281094456440;3,97816045125459e-01;-0,08851327973898900
1;21;2,88064202411044e-02;9,89740085875822e-02;0,2910503540494020;7,71012808662998e-01;0,02880642024110440
2;2;-1,38457664796246e-01;2,86258983641399e-01;-0,4836797190955400;6,28613188634834e-01;-0,13845766479624599
2;3;-1,85216090977214e-01;1,96430974934184e-01;-0,9429067439046870;3,45728605124024e-01;-0,18521609097721400
