variable_encripted;level_encripted;coefficients;standardized_coefficients
0;1;-1,92418051539788e+00;-2,93102785944265e+00
1;1;2,38987763007042e-02;2,38987763007042e-02
1;2;-3,85283105755881e-02;-3,85283105755881e-02
1;3;1,68254298682081e-02;1,68254298682081e-02
1;4;-2,25801695552229e-02;-2,25801695552229e-02
1;5;1,69997763105503e-02;1,69997763105503e-02
1;6;3,99724716558635e-02;3,99724716558635e-02
1;7;5,68405937292195e-02;5,68405937292195e-02
1;8;-8,10345317663889e-02;-8,10345317663889e-02
1;9;-6,98930350512467e-02;-6,98930350512467e-02
1;10;7,49790922288618e-02;7,49790922288618e-02
1;11;-9,03443664764877e-02;-9,03443664764877e-02
1;12;-3,33059147531144e-02;-3,33059147531144e-02
1;13;3,52427717066755e-02;3,52427717066755e-02
1;14;3,03402743384688e-02;3,03402743384688e-02
1;15;2,96073027753917e-02;2,96073027753917e-02
1;16;-3,56055720088070e-02;-3,56055720088070e-02
1;17;4,83444271388315e-02;4,83444271388315e-02
1;18;6,89852489921368e-03;6,89852489921368e-03
1;19;-4,68771609924249e-02;-4,68771609924249e-02
1;20;-2,43619065571226e-02;-2,43619065571226e-02
1;21;6,25815267842492e-02;6,25815267842492e-02
2;1;1,91595058596255e-01;1,91595058596255e-01
2;2;2,55248476829448e-02;2,55248476829448e-02
2;3;4,14136888685867e-02;4,14136888685867e-02
2;4;-3,21637936386479e-03;-3,21637936386479e-03
2;5;-1,52927093397387e-01;-1,52927093397387e-01
2;6;-8,42893819175896e-02;-8,42893819175896e-02
2;7;2,62294305301893e-03;2,62294305301893e-03
2;8;-2,44345068130250e-02;-2,44345068130250e-02
2;9;-8,51666152794796e-02;-8,51666152794796e-02
2;10;8,88774385703867e-02;8,88774385703867e-02
3;1;-7,84305736863355e-03;-7,84305736863355e-03
3;2;-1,48721779006674e-02;-1,48721779006674e-02
3;3;-6,91216772375549e-02;-6,91216772375549e-02
3;4;2,28349531983058e-02;2,28349531983058e-02
3;5;8,26996059930489e-03;8,26996059930489e-03
3;6;2,75446060646914e-02;2,75446060646914e-02
3;7;-1,33508323073259e-02;-1,33508323073259e-02
3;8;7,93076198785401e-02;7,93076198785401e-02
3;9;-2,29357226698031e-02;-2,29357226698031e-02
3;10;-9,83367225704757e-03;-9,83367225704757e-03
4;1;8,94308069707726e-03;8,94308069707726e-03
4;2;-2,45564688007661e-03;-2,45564688007661e-03
4;3;8,07243169784179e-02;8,07243169784179e-02
4;4;-4,54003189617418e-02;-4,54003189617418e-02
4;5;-4,18114318338283e-02;-4,18114318338283e-02
5;1;3,71964267395760e-03;3,71964267395760e-03
5;2;-6,39420466212778e-02;-6,39420466212778e-02
5;3;9,72974514438925e-03;9,72974514438925e-03
5;4;-1,00717008849039e-02;-1,00717008849039e-02
5;5;6,05643596876864e-02;6,05643596876864e-02
6;1;-5,25143472007285e-02;-5,25143472007285e-02
6;2;3,55484166164372e-02;3,55484166164372e-02
6;3;2,51421065569774e-02;2,51421065569774e-02
6;4;-2,36653126081208e-02;-2,36653126081208e-02
6;5;1,54891366352199e-02;1,54891366352199e-02
7;1;3,11983683729040e-02;3,11983683729040e-02
7;2;-4,33961645757784e-02;-4,33961645757784e-02
7;3;-7,49038082444676e-02;-7,49038082444676e-02
7;4;6,40857038600387e-02;6,40857038600387e-02
7;5;2,30159005871254e-02;2,30159005871254e-02
8;1;-6,50199759591457e-02;-6,50199759591457e-02
8;2;-1,58183482560388e-01;-1,58183482560388e-01
8;3;1,25419280676484e-01;1,25419280676484e-01
8;4;9,77841778428491e-02;9,77841778428491e-02
9;1;8,14137296995206e-05;8,14137296995206e-05
9;2;3,23487344085425e-02;3,23487344085425e-02
9;3;-3,24301481383365e-02;-3,24301481383365e-02
10;1;1,56651649075788e-02;1,56651649075788e-02
10;2;1,33569116171987e-01;1,33569116171987e-01
10;3;-1,49234281079765e-01;-1,49234281079765e-01
11;1;-5,95420977479847e-02;-5,95420977479847e-02
11;2;1,73175869283140e-02;1,73175869283140e-02
11;3;4,22245108195446e-02;4,22245108195446e-02
12;1;-1,00236009624185e-01;-1,00236009624185e-01
12;2;1,00236009624006e-01;1,00236009624006e-01
13;1;-4,47263446315803e-02;-4,47263446315803e-02
13;2;4,47263446313934e-02;4,47263446313934e-02
14;1;-1,41486738943945e-02;-1,41486738943945e-02
14;2;1,41486738942564e-02;1,41486738942564e-02
15;1;-6,31753626635049e-02;-6,31753626635049e-02
15;2;6,31753626633419e-02;6,31753626633419e-02
16;1;-4,61628455016476e-02;-4,61628455016476e-02
16;2;4,61628455014628e-02;4,61628455014628e-02
17;1;1,27842592049424e-01;1,27842592049424e-01
17;2;-1,27842592049561e-01;-1,27842592049561e-01
18;1;-7,21575114980950e-02;-7,21575114980950e-02
18;2;7,21575114978880e-02;7,21575114978880e-02
19;1;4,29096205725510e-02;4,29096205725510e-02
19;2;-4,29096205726989e-02;-4,29096205726989e-02
20;1;-4,48943391862361e-02;-4,48943391862361e-02
20;2;4,48943391861783e-02;4,48943391861783e-02
21;1;-8,64338089352220e-02;-8,64338089352220e-02
