rank;col_sample_rate;learn_rate;max_depth;sample_rate;model_ids;residual_deviance
1;1,0;0,116;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_51;0,196890707469460
2;0,3;0,334;3;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_27;0,196941892082224
3;0,2;0,365;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_87;0,196946683666299
4;0,4;0,363;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_12;0,196953112796069
5;1,0;0,317;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_176;0,196958658429198
6;1,0;0,130;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_120;0,196989861278693
7;0,4;0,362;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_31;0,196990743623430
8;0,6;0,388;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_155;0,197000385613830
9;1,0;0,406;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_111;0,197015020761772
10;0,7;0,492;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_52;0,197035406064248
11;0,4;0,296;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_173;0,197061517858356
12;1,0;0,232;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_180;0,197094869628349
13;0,3;0,301;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_2;0,197124342831001
14;0,1;0,467;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_135;0,197143255349369
15;0,4;0,166;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_79;0,197165757396505
16;0,4;0,340;2;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_85;0,197194745783576
17;1,0;0,247;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_25;0,197231783113057
18;0,3;0,405;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_40;0,197257854124097
19;0,5;0,199;3;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_101;0,197346415586924
20;0,3;0,144;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_126;0,197428142634526
21;0,7;0,144;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_36;0,197433145966703
22;0,7;0,272;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_4;0,197455361846133
23;0,8;0,209;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_26;0,197460134828622
24;0,2;0,188;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_137;0,197468655695756
25;0,1;0,499;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_149;0,197470648393331
26;0,1;0,128;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_134;0,197503241871896
27;0,5;0,114;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_142;0,197559828826841
28;0,3;0,125;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_45;0,197563303712208
29;0,1;0,140;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_178;0,197563542769172
30;0,4;0,369;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_72;0,197625954030562
31;0,7;0,058;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_128;0,197651383910440
32;0,5;0,391;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_97;0,197655648755183
33;0,1;0,110;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_171;0,197680418356795
34;0,2;0,219;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_7;0,197727089169823
35;0,7;0,455;3;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_95;0,197738364651709
36;0,9;0,037;2;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_41;0,197764208803388
37;0,2;0,261;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_3;0,197805902076897
38;1,0;0,371;3;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_107;0,197846928906636
39;0,4;0,091;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_112;0,197889712218935
40;0,5;0,369;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_10;0,197899125113229
41;0,5;0,399;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_30;0,197924969759585
42;0,3;0,025;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_163;0,197940593581465
43;0,4;0,288;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_35;0,197961431999216
44;0,4;0,024;3;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_34;0,198002336935748
45;0,4;0,312;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_150;0,198079441702843
46;0,8;0,197;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_86;0,198184204703191
47;1,0;0,499;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_21;0,198214377151099
48;0,6;0,101;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_160;0,198262636859875
49;0,3;0,217;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_96;0,198276273244291
50;0,5;0,218;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_88;0,198306479930174
51;0,2;0,351;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_84;0,198315749772301
52;0,9;0,197;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_138;0,198345914756546
53;1,0;0,181;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_16;0,198360166590072
54;0,6;0,015;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_66;0,198438301414774
55;0,5;0,078;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_140;0,198499083979222
56;0,3;0,041;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_73;0,198533462695748
57;0,8;0,357;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_152;0,198599252366575
58;0,3;0,227;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_177;0,198657920743018
59;0,3;0,445;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_42;0,198679664775048
60;0,2;0,235;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_130;0,198685557153570
61;0,9;0,468;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_1;0,198823703539940
62;0,1;0,060;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_182;0,198924552247609
63;0,1;0,461;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_165;0,199098562708159
64;1,0;0,133;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_136;0,199121544004867
65;0,1;0,443;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_9;0,199169988671271
66;0,3;0,028;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_170;0,199248090807517
67;0,1;0,017;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_78;0,199296827265721
68;0,9;0,005;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_5;0,199451065582731
69;0,4;0,005;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_57;0,199461702325640
70;0,9;0,026;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_189;0,199506362093153
71;0,8;0,002;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_108;0,199564992740929
72;0,9;0,048;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_172;0,199569148278869
73;1,0;0,425;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_146;0,199605070691353
74;0,2;0,001;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_145;0,199609775579468
75;0,8;0,401;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_68;0,199760969619231
76;1,0;0,122;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_154;0,199861849276105
77;0,5;0,091;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_151;0,199998972104708
78;0,3;0,172;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_71;0,200007293732098
79;0,7;0,253;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_181;0,200041871021412
80;0,5;0,103;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_15;0,200051857792179
81;0,9;0,029;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_54;0,200185608599665
82;0,4;0,342;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_53;0,200291265529791
83;0,6;0,024;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_75;0,200355248738126
84;0,9;0,035;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_50;0,200392761897935
85;0,1;0,191;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_147;0,200440391343961
86;0,8;0,128;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_22;0,200979036349374
87;0,2;0,314;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_28;0,200993820417927
88;0,9;0,137;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_14;0,201111150571452
89;0,3;0,133;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_62;0,201229249441203
90;0,7;0,036;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_153;0,201532848344792
91;1,0;0,285;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_127;0,201605691745916
92;1,0;0,082;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_161;0,201709311664102
93;0,3;0,137;7;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_119;0,201960537893104
94;0,2;0,134;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_24;0,202336144350682
95;0,8;0,345;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_76;0,202726122059497
96;1,0;0,316;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_13;0,202902666825009
97;1,0;0,460;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_77;0,203128968213648
98;0,7;0,352;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_65;0,203620041594699
99;0,4;0,391;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_47;0,203679277791146
100;0,2;0,047;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_32;0,204432208162232
101;0,9;0,102;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_141;0,204729693748331
