rank;alpha;lambda;model_ids;residual_deviance
1;[0.0];1,62975083462064e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_547;35464,0884427233
2;[0.0];1,51991108295293e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_296;35464,0895388162
3;[0.0];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_30;35464,1162105983
4;[0.0];1,74752840000768e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_421;35464,1253245994
5;[0.0];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_135;35464,1389676249
6;[0.0];1,87381742286038e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_398;35464,1445930218
7;[0.0];1,23284673944207e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_141;35464,1712463867
8;[0.0];1,14975699539774e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_373;35464,2131107343
9;[0.0];2,00923300256505e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_308;35464,2513503619
10;[0.0];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_239;35464,2646232576
11;[0.0];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_257;35464,3258348858
12;[0.0];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_137;35464,3527458876
13;[0.0];9,32603346883220e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_82;35464,3967743224
14;[0.0];8,69749002617783e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_430;35464,4774379771
15;[0.0];2,31012970008316e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_564;35464,5236642870
16;[0.0];8,11130830789687e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_396;35464,5677810162
17;[0.0];7,56463327554629e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_459;35464,6677100545
18;[0.0];2,47707635599171e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_476;35464,6693015575
19;[0.0];2,65608778294668e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_482;35464,7753708667
20;[0.0];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_39;35464,7770778831
21;[0.0];2,84803586843580e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_318;35464,7988874623
22;[0.0];3,05385550883341e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_581;35464,8389055974
23;[0.0];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_128;35464,8950455705
24;[0.0];6,57933224657568e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_76;35464,8956804697
25;[0.0];3,51119173421513e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_438;35464,9669976275
26;[0.0];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_413;35465,0232563134
27;[0.0];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_268;35465,0545330758
28;[0.0];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_102;35465,1575150797
29;[0.0];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_291;35465,1594880742
30;[0.0];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_246;35465,2759093313
31;[0.0];5,33669923120631e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_75;35465,3040062479
32;[0.0];4,32876128108306e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_295;35465,3391262327
33;[0.0];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_244;35465,4097947655
34;[0.0];4,97702356433211e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_368;35465,4563945173
35;[0.0];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_543;35465,5593744366
36;[0.0];4,64158883361278e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_53;35465,6161962952
37;[0.0];4,03701725859656e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_529;35465,6812641521
38;[0.0];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_126;35465,7249866001
39;[0.0];2,00923300256505e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_245;35465,7662917104
40;[0.0];3,76493580679247e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_175;35465,8161768323
41;[0.0];1,87381742286038e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_113;35465,8394193129
42;[0.0];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_63;35465,9071159592
43;[0.0];1,74752840000768e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_496;35465,9115402278
44;[0.0];2,47707635599171e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_29;35465,9332275907
45;[0.0];3,51119173421513e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_177;35465,9539945827
46;[0.0];1,62975083462064e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_165;35465,9825163772
47;[0.0];2,65608778294668e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_523;35465,9970321940
48;[0.0];3,05385550883341e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_567;35466,0168405016
49;[0.0];2,31012970008316e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_539;35466,0308667260
50;[0.0];1,51991108295293e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_366;35466,0522216168
51;[0.0];3,27454916287773e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_573;35466,0943392973
52;[0.0];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_514;35466,1064049538
53;[0.0];1,41747416292680e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_123;35466,1205415095
54;[0.0];1,32194114846603e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_493;35466,1278297948
55;[0.0];2,15443469003188e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_152;35466,1280508153
56;[0.0];2,84803586843580e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_256;35466,1433164533
57;[0.0];1,23284673944207e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_108;35466,1911062162
58;[0.0];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_323;35466,2528265324
59;[0.0];1,07226722201032e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_436;35466,3129197107
60;[0.0];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_162;35466,3236648877
61;[0.0];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_566;35466,3713229933
62;[0.0];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_249;35466,5598866271
63;[0.0];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_198;35466,8162505588
64;[0.0];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_181;35467,0941354642
65;[0.0];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_586;35467,3951259582
66;[0.0];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_542;35467,7210181480
67;[0.0];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_38;35468,0738231837
68;[0.0];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_464;35468,4557684051
69;[0.02];1,51991108295293e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_468;35468,6800324611
70;[0.02];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_131;35468,8077756126
71;[0.0];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_255;35468,8692958248
72;[0.02];1,07226722201032e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_139;35469,0495082638
73;[0.02];1,74752840000768e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_68;35469,0711982978
74;[0.02];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_208;35469,1023520308
75;[0.02];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_597;35469,1562937095
