rank;alpha;lambda;model_ids;residual_deviance
1;[0.06];2,00923300256505e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_194;35507,2699361382
2;[0.08];1,51991108295293e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_114;35507,4694654463
3;[0.0];4,64158883361278e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_119;35507,6688076188
4;[0.0];5,33669923120631e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_81;35507,6784775187
5;[0.08];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_204;35507,7201084335
6;[0.0];4,32876128108306e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_258;35507,7584473659
7;[0.0];5,72236765935022e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_32;35507,7872757080
8;[0.1];1,74752840000768e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_133;35507,8425274506
9;[0.0];4,03701725859655e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_84;35507,9049984656
10;[0.06];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_52;35507,9238559467
11;[0.1];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_261;35507,9531020017
12;[0.0];6,57933224657568e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_335;35508,2376482153
13;[0.08];1,87381742286038e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_279;35508,2524791711
14;[0.1];1,87381742286038e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_169;35508,2932568192
15;[0.04];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_341;35508,2991855303
16;[0.0];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_191;35508,3515205748
17;[0.06];2,31012970008316e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_117;35508,4134727587
18;[0.06];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_179;35508,4590852949
19;[0.08];1,74752840000768e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_334;35508,4637861539
20;[0.08];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_342;35508,6560339297
21;[0.1];1,51991108295293e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_5;35508,7410244940
22;[0.1];2,00923300256505e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_348;35508,7931946161
23;[0.06];1,74752840000768e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_247;35509,0302993889
24;[0.0];7,56463327554629e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_107;35509,0331744081
25;[0.04];2,31012970008316e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_97;35509,0677517235
26;[0.04];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_259;35509,0922249435
27;[0.08];1,62975083462065e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_41;35509,1731117543
28;[0.1];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_138;35509,1809786714
29;[0.04];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_78;35509,2603695979
30;[0.04];1,87381742286038e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_210;35509,3310772730
31;[0.0];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_161;35509,3437123617
32;[0.04];3,27454916287773e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_233;35509,3557538355
33;[0.0];8,11130830789687e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_10;35509,5738822385
34;[0.0];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_55;35509,7450807645
35;[0.02];4,03701725859655e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_69;35509,7778352171
36;[0.06];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_201;35509,7789058229
37;[0.02];4,32876128108306e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_200;35509,7810275924
38;[0.06];1,51991108295293e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_9;35509,8729888904
39;[0.02];3,27454916287773e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_80;35509,9083002846
40;[0.02];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_66;35510,0541544006
41;[0.02];5,33669923120631e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_110;35510,0996692663
42;[0.0];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_243;35510,1757635790
43;[0.08];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_292;35510,2244718305
44;[0.04];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_287;35510,3014498637
45;[0.02];4,64158883361278e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_328;35510,3322572693
46;[0.06];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_299;35510,5015294826
47;[0.08];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_112;35510,6084501809
48;[0.04];1,74752840000768e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_122;35510,7696809362
49;[0.0];9,32603346883220e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_286;35510,9690614337
50;[0.02];4,97702356433211e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_45;35510,9944456525
51;[0.1];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_188;35511,0328238438
52;[0.0];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_230;35511,1115577859
53;[0.1];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_27;35511,2379022154
54;[0.1];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_329;35511,2625261410
55;[0.02];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_70;35511,8207314202
56;[0.0];1,00000000000000e-03;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_159;35511,8348606158
57;[0.02];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_22;35511,9661558092
58;[0.06];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_127;35512,0139340596
59;[0.04];4,64158883361278e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_90;35512,0803228066
60;[0.02];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_352;35512,3021734024
61;[0.02];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_262;35512,5225434876
62;[0.1];2,31012970008316e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_149;35512,5610333744
63;[0.06];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_322;35512,8253394109
64;[0.02];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_231;35512,8308598773
65;[0.04];4,97702356433211e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_229;35513,1826935897
66;[0.08];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_26;35513,2809611588
67;[0.02];1,87381742286038e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_336;35513,6362317437
68;[0.02];6,57933224657568e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_148;35513,7067093919
69;[0.02];1,74752840000768e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_270;35514,0367253653
70;[0.02];7,05480231071865e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_284;35514,1959556607
71;[0.1];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_226;35514,2309561546
72;[0.02];1,62975083462065e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_140;35514,4326310020
73;[0.1];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_44;35514,5081086517
74;[0.08];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_240;35514,5284567679
75;[0.04];1,41747416292680e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_314;35514,5404212111
76;[0.1];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_146;35514,8201558424
77;[0.04];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_189;35514,9818417767
78;[0.1];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_42;35515,0149587943
79;[0.08];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_180;35515,2275734230
80;[0.02];1,41747416292680e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_315;35515,3729733023
81;[0.0];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_297;35515,4080689368
82;[0.04];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_85;35515,5925263738
83;[0.08];3,27454916287773e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_283;35515,6047733794
84;[0.0];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_255;35515,9646582861
85;[0.02];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_33;35516,4084455094
86;[0.1];2,84803586843580e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_277;35516,6529424113
87;[0.08];3,51119173421513e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_1;35516,8380075628
88;[0.02];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_150;35516,8798214661
89;[0.06];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_293;35516,9226014690
90;[0.04];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_339;35517,0123550322
91;[0.0];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_38;35517,0675826398
92;[0.02];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_13;35517,2533931248
93;[0.06];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_160;35517,5557589893
94;[0.04];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_37;35517,9090659904
95;[0.06];4,32876128108306e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_176;35518,0829255439
96;[0.04];5,72236765935022e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_61;35518,2291140618
97;[0.06];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_72;35518,4513058742
98;[0.02];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_104;35518,4864190449
99;[0.04];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_184;35518,5589415029
100;[0.0];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_181;35518,6730390346
101;[0.02];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_252;35518,7185685604
102;[0.02];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_130;35518,7239120743
103;[0.08];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_238;35518,9383676460
104;[0.08];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_320;35519,0727043789
105;[0.02];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_153;35519,1119052752
106;[0.0];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_198;35519,1901477648
107;[0.04];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_48;35519,2064995133
108;[0.08];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_264;35519,3457286357
109;[0.02];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_23;35519,3471691529
110;[0.04];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_197;35519,6580922528
111;[0.0];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_249;35519,6966746839
112;[0.06];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_347;35519,7801890554
113;[0.1];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_278;35520,0088306181
114;[0.02];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_227;35520,1277728245
115;[0.08];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_124;35520,1677366808
116;[0.0];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_162;35520,1919565300
117;[0.1];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_346;35520,2409641528
118;[0.02];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_267;35520,4236420610
119;[0.06];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_290;35520,6233401255
