random;train;test;diff
c1;0,0280189724541589;0,0261420305575733;1,87694189658565e-03
c10;0,0279594639604727;0,0263847344374726;1,57472952300014e-03
c11;0,0274751527899824;0,0283483495163189;8,73196726336428e-04
c12;0,0277412272722185;0,0272752762241423;4,65951048076212e-04
c13;0,0272480252359716;0,0292939221991655;2,04589696319393e-03
c14;0,0277343606475652;0,0273207368012275;4,13623846337689e-04
c15;0,0277944027775173;0,0270728359405487;7,21566836968564e-04
c16;0,0279121364431596;0,0265830450786618;1,32909136449784e-03
c17;0,0278853119571686;0,0266948359828214;1,19047597434727e-03
c18;0,0277991441785634;0,0270490046956718;7,50139482891665e-04
c19;0,0276284802317847;0,0277314267624568;1,02946530672034e-04
c2;0,0277438874372638;0,0272711700297046;4,72717407559164e-04
c20;0,0278535084778020;0,0268088108000782;1,04469767772382e-03
c21;0,0275668413526768;0,0279790778025769;4,12236449900162e-04
c22;0,0273293092335262;0,0289156677513037;1,58635851777747e-03
c23;0,0275989492755185;0,0278461476577276;2,47198382209147e-04
c24;0,0279285558774601;0,0265601792304708;1,36837664698935e-03
c25;0,0277138000326727;0,0273977503044862;3,16049728186475e-04
c26;0,0275594319069816;0,0280042254180963;4,44793511114625e-04
c27;0,0274829212337368;0,0283217879724599;8,38866738723125e-04
c28;0,0277834583531404;0,0271132986181750;6,70159734965446e-04
c29;0,0275820054138905;0,0279188642654376;3,36858851547057e-04
c3;0,0273399737348046;0,0288626553382675;1,52268160346299e-03
c30;0,0274620423658752;0,0283858672933143;9,23824927439153e-04
c31;0,0276090339031022;0,0278085634374705;1,99529534368297e-04
c32;0,0276904087585875;0,0274861907498172;2,04218008770341e-04
c33;0,0276228069188434;0,0277556402127460;1,32833293902592e-04
c34;0,0274831456189678;0,0283285720229528;8,45426403985043e-04
c35;0,0274991075090811;0,0282425001437338;7,43392634652690e-04
c36;0,0278577283607769;0,0268060141215435;1,05171423923343e-03
c37;0,0273792726895097;0,0287015108390392;1,32223814952942e-03
c38;0,0279252851806165;0,0265214419094083;1,40384327120828e-03
c39;0,0278172984952794;0,0269905032054723;8,26795289807111e-04
c4;0,0277043513325670;0,0274310660967127;2,73285235854310e-04
c40;0,0281097803537079;0,0258218239733945;2,28795638031338e-03
c41;0,0274161435784563;0,0285739907850334;1,15784720657707e-03
c42;0,0275598481254809;0,0279969941941454;4,37146068664487e-04
c43;0,0276318643417958;0,0277176972076267;8,58328658309183e-05
c44;0,0279863439966032;0,0263476433421612;1,63870065444200e-03
c45;0,0272656354185731;0,0291980041367662;1,93236871819310e-03
c46;0,0276422581867922;0,0276769273817077;3,46691949154321e-05
c47;0,0275921755367607;0,0278750033906445;2,82827853883848e-04
c48;0,0278306791245381;0,0269422268104039;8,88452314134223e-04
c49;0,0274387408739534;0,0284907953815441;1,05205450759070e-03
c5;0,0274240332986332;0,0285553788054816;1,13134550684840e-03
c50;0,0280457889752361;0,0260141262849944;2,03166269024170e-03
c6;0,0279641502725110;0,0263688581049896;1,59529216752138e-03
c7;0,0278617673910138;0,0268114345038156;1,05033288719822e-03
c8;0,0276398267157288;0,0276858615436212;4,60348278924078e-05
c9;0,0278703961478468;0,0267682262227975;1,10216992504925e-03
r1;0,0280976929768149;0,0258663284876305;2,23136448918435e-03
r10;0,0274709401319234;0,0283532065794708;8,82266447547398e-04
r11;0,0278107111113337;0,0270006552592452;8,10055852088522e-04
r12;0,0277941004141162;0,0270655510766735;7,28549337442763e-04
r13;0,0276541883774182;0,0276290848080553;2,51035693628644e-05
r14;0,0277546940215255;0,0272272868397580;5,27407181767546e-04
r15;0,0275017978544274;0,0282376061534155;7,35808298988137e-04
r16;0,0277544406914703;0,0272265726183877;5,27868073082634e-04
r17;0,0279589250457595;0,0264058803773849;1,55304466837452e-03
r18;0,0277987120683486;0,0270536107646196;7,45101303728995e-04
r19;0,0277499103584230;0,0272445478945588;5,05362463864224e-04
r2;0,0276335804598005;0,0277114079546649;7,78274948644159e-05
r20;0,0275766082421369;0,0279383153416538;3,61707099516839e-04
r21;0,0279500729392992;0,0264441668032949;1,50590613600439e-03
r22;0,0278089097352381;0,0270114050973158;7,97504637922265e-04
r23;0,0277584705645800;0,0272140263813077;5,44444183272322e-04
r24;0,0274530694436512;0,0284286947792972;9,75625335645994e-04
r25;0,0275688532248424;0,0279704387887485;4,01585563906147e-04
r26;0,0276216432885826;0,0277596298321920;1,37986543609456e-04
r27;0,0275586223707103;0,0280109774972679;4,52355126557634e-04
r28;0,0275019816943958;0,0282390772007489;7,37095506353060e-04
r29;0,0272486621635596;0,0292421014072177;1,99343924365803e-03
r3;0,0275196917091689;0,0281683492754914;6,48657566322576e-04
r30;0,0273462368469402;0,0288609225032027;1,51468565626244e-03
r31;0,0277373482974694;0,0272960275690000;4,41320728469367e-04
r32;0,0276628880702750;0,0275940614449389;6,88266253360027e-05
r33;0,0271752203792494;0,0295239515864806;2,34873120723118e-03
r34;0,0278386582365207;0,0268888211347122;9,49837101808522e-04
r35;0,0273963575661250;0,0286518808588055;1,25552329268047e-03
r36;0,0276108383810341;0,0278011404151983;1,90302034164265e-04
r37;0,0273784989543853;0,0287229134593544;1,34441450496912e-03
r38;0,0276553726705041;0,0276242345652624;3,11381052417528e-05
r39;0,0279523334850613;0,0264247315571773;1,52760192788399e-03
r4;0,0274471084957140;0,0284561666835493;1,00905818783528e-03
r40;0,0275108314735352;0,0282035602815542;6,92728808019009e-04
r41;0,0275655324820449;0,0279841019498611;4,18569467816227e-04
r42;0,0274926048019213;0,0282734999357034;7,80895133782142e-04
r43;0,0275614476487380;0,0280057278921789;4,44280243440898e-04
r44;0,0274794777184680;0,0283336199603728;8,54142241904818e-04
r45;0,0278622230250252;0,0267973904671342;1,06483255789106e-03
r46;0,0274929143470095;0,0282748367632785;7,81922416269003e-04
r47;0,0277353248335261;0,0273054246748619;4,29900158664218e-04
r48;0,0276707490143319;0,0275633148628640;1,07434151467897e-04
r49;0,0275448431541115;0,0280657576099258;5,20914455814259e-04
r5;0,0279871003363866;0,0262992107479778;1,68788958840874e-03
r50;0,0275910642240556;0,0278819987311976;2,90934507142009e-04
r6;0,0274178347133222;0,0285711295888444;1,15329487552214e-03
r7;0,0276036820577135;0,0278299937368353;2,26311679121776e-04
r8;0,0279656532585810;0,0263838040565839;1,58184920199712e-03
r9;0,0278237914031548;0,0269442935842319;8,79497818922912e-04
c100;0,0275120376466796;0,0282079204469106;6,95882800230994e-04
c51;0,0275653145505910;0,0279884831745063;4,23168623915355e-04
c52;0,0274326587749050;0,0284977727491198;1,06511397421483e-03
c53;0,0276843034120218;0,0275057484086086;1,78555003413274e-04
c54;0,0276163934723952;0,0277797053130108;1,63311840615681e-04
c55;0,0276020923503209;0,0278360045074325;2,33912157111649e-04
c56;0,0274304342269033;0,0285289037011452;1,09846947424191e-03
c57;0,0275769595443932;0,0279351439731012;3,58184428708039e-04
c58;0,0276759258958371;0,0275418702199520;1,34055675885071e-04
c59;0,0276688732694852;0,0275707899412152;9,80833282699656e-05
c60;0,0276434253851663;0,0276717751933349;2,83498081685568e-05
c61;0,0279218739130729;0,0265413415559204;1,38053235715247e-03
c62;0,0279087444379588;0,0266145163088085;1,29422812915028e-03
c63;0,0274809950848651;0,0283133663361357;8,32371251270593e-04
c64;0,0280384941421493;0,0260968330390958;1,94166110305356e-03
c65;0,0277559760353095;0,0272263606706050;5,29615364704528e-04
c66;0,0277397726038233;0,0272797157049490;4,60056898874375e-04
c67;0,0278072636878629;0,0270086704177348;7,98593270128121e-04
c68;0,0277030555567943;0,0274344319376037;2,68623619190646e-04
c69;0,0276322325836098;0,0277173506436801;8,51180600703223e-05
c70;0,0278285677880400;0,0269460910233812;8,82476764658802e-04
c71;0,0275470180953412;0,0280555622734054;5,08544178064181e-04
c72;0,0273920402845884;0,0286707846915565;1,27874440696811e-03
c73;0,0275341069998732;0,0281091397113288;5,75032711455561e-04
c74;0,0275750190121855;0,0279454545897660;3,70435577580527e-04
c75;0,0278092855783083;0,0269943330911913;8,14952487116948e-04
c76;0,0276643027346472;0,0275894298009007;7,48729337464692e-05
c77;0,0277404301787110;0,0272806212554135;4,59808923297451e-04
c78;0,0274997575166460;0,0282507485326635;7,50991016017440e-04
c79;0,0278679208874602;0,0267659660245009;1,10195486295928e-03
c80;0,0274539223601979;0,0284076124665721;9,53690106374132e-04
c81;0,0279305274456667;0,0265047224766136;1,42580496905313e-03
c82;0,0276190177839108;0,0277701245929434;1,51106809032579e-04
c83;0,0280613051712639;0,0259734122400064;2,08789293125750e-03
c84;0,0278629817884113;0,0267941384387826;1,06884334962870e-03
c85;0,0277278615588208;0,0273385784598645;3,89283098956267e-04
c86;0,0277446202631875;0,0272741241548863;4,70496108301188e-04
c87;0,0273607011459645;0,0287944168820467;1,43371573608211e-03
c88;0,0276893073032143;0,0274895067409707;1,99800562243512e-04
c89;0,0276408558987510;0,0276816239497499;4,07680509988476e-05
c90;0,0276307527746056;0,0277245571564958;9,38043818902723e-05
c91;0,0277694879933250;0,0271730989926104;5,96389000714685e-04
c92;0,0277255943342433;0,0273514310588758;3,74163275367517e-04
c93;0,0273469472851282;0,0288879034896432;1,54095620451501e-03
c94;0,0280245943655779;0,0261753684316322;1,84922593394574e-03
c95;0,0278694890070745;0,0267761532467883;1,09333576028615e-03
c96;0,0277588669227557;0,0272276823361668;5,31184586588896e-04
c97;0,0278772291483723;0,0267390868016251;1,13814234674715e-03
c98;0,0274651633369059;0,0283820968155560;9,16933478650149e-04
c99;0,0279269111316408;0,0265540021823528;1,37290894928796e-03
r100;0,0275135812225708;0,0281862704317335;6,72689209162722e-04
